library_name,game,manufacturer,year,v1_slug,v2_name_observed,v2_candidates,v3_practice_identity,opdb_id,v1_playfield_700_exists,v2_playfield_700_exists,v3_playfield_700_exists,v1_rulesheet_exists,v2_rulesheet_exists,v3_rulesheet_exists,v1_playfield_700_name,v2_playfield_700_name,v3_playfield_700_name,v1_rulesheet_name,v2_rulesheet_name,v3_rulesheet_name,asset_playfield_local_legacy,asset_playfield_local_practice,match_confidence
The Avenue Cafe,Game of Thrones,Stern,2015,stern--game-of-thrones--2015,game-of-thrones,game-of-thrones,G41d5,G41d5-M9REd,True,True,True,False,False,True,stern--game-of-thrones--2015-playfield_700.webp,game-of-thrones_700.webp,G41d5-playfield_700.webp,stern--game-of-thrones--2015-rulesheet.md,game-of-thrones-rulesheet.md,G41d5-rulesheet.md,,/pinball/images/playfields/G41d5-playfield.jpg,high
The Avenue Cafe,Ghostbusters,Stern,2016,stern--ghostbusters--2016,ghostbusters,ghostbusters,GR9Nr,GR9Nr-MVKol,True,True,True,False,False,True,stern--ghostbusters--2016-playfield_700.webp,ghostbusters_700.webp,GR9Nr-playfield_700.webp,stern--ghostbusters--2016-rulesheet.md,ghostbusters-rulesheet.md,GR9Nr-rulesheet.md,,/pinball/images/playfields/GR9Nr-playfield.png,high
The Avenue Cafe,Godzilla,Stern,2021,stern--godzilla--2021,godzilla,godzilla | godzilla-le,GweeP,GweeP-Ml9pZ,True,True,True,False,False,True,stern--godzilla--2021-playfield_700.webp,godzilla_700.webp,GweeP-playfield_700.webp,stern--godzilla--2021-rulesheet.md,godzilla-rulesheet.md,GweeP-rulesheet.md,,/pinball/images/playfields/GweeP-playfield.jpg,high
The Avenue Cafe,Godzilla,Stern,2021,stern--godzilla--2021,godzilla,godzilla | godzilla-le,GweeP,GweeP-Ml9pZ,True,True,True,False,False,True,stern--godzilla--2021-playfield_700.webp,godzilla_700.webp,GweeP-playfield_700.webp,stern--godzilla--2021-rulesheet.md,godzilla-rulesheet.md,GweeP-rulesheet.md,,/pinball/images/playfields/GweeP-playfield.jpg,high
The Avenue Cafe,Indiana Jones: The Pinball Adventure,Williams,1993,williams--indiana-jones--1993,indiana-jones-the-pinball-adventure,indiana-jones-the-pinball-adventure,G4xZy,G4xZy-MLno6,True,True,True,False,False,True,williams--indiana-jones--1993-playfield_700.webp,indiana-jones-the-pinball-adventure_700.webp,G4xZy-playfield_700.webp,williams--indiana-jones--1993-rulesheet.md,indiana-jones-the-pinball-adventure-rulesheet.md,G4xZy-rulesheet.md,,/pinball/images/playfields/G4xZy-playfield.jpg,high
The Avenue Cafe,Iron Maiden,Stern,2018,stern--iron-maiden-legacy-of-the-beast--2018,iron-maiden,iron-maiden,G4dOQ,G4dOQ-MyNbb,True,True,True,False,False,True,stern--iron-maiden-legacy-of-the-beast--2018-playfield_700.webp,iron-maiden_700.webp,G4dOQ-playfield_700.webp,stern--iron-maiden-legacy-of-the-beast--2018-rulesheet.md,iron-maiden-rulesheet.md,G4dOQ-rulesheet.md,,/pinball/images/playfields/G4dOQ-playfield.png,high
The Avenue Cafe,James Bond 007,Stern,2022,stern--james-bond-007--2022,james-bond-007,james-bond-007,GQKyP,GQKyP-MP3OK,True,True,True,False,False,True,stern--james-bond-007--2022-playfield_700.webp,james-bond-007_700.webp,GQKyP-playfield_700.webp,stern--james-bond-007--2022-rulesheet.md,james-bond-007-rulesheet.md,GQKyP-rulesheet.md,,/pinball/images/playfields/GQKyP-playfield.jpg,high
The Avenue Cafe,Jaws,Stern,2024,stern--jaws--2024,jaws,jaws,GLWll,GLWll-M1r8O,True,True,True,False,False,True,stern--jaws--2024-playfield_700.webp,jaws_700.webp,GLWll-playfield_700.webp,stern--jaws--2024-rulesheet.md,jaws-rulesheet.md,GLWll-rulesheet.md,,/pinball/images/playfields/GLWll-playfield.jpg,high
The Avenue Cafe,John Wick,Stern,2024,stern--john-wick--2024,john-wick,john-wick,GQK1P,GQK1P-Ml95Z,True,True,True,False,False,True,stern--john-wick--2024-playfield_700.webp,john-wick_700.webp,GQK1P-playfield_700.webp,stern--john-wick--2024-rulesheet.md,john-wick-rulesheet.md,GQK1P-rulesheet.md,,/pinball/images/playfields/GQK1P-playfield.jpg,high
The Avenue Cafe,Jurassic Park,Stern,2019,stern--jurassic-park-stern--2019,jurassic-park,jurassic-park,GK17D,GK17D-MdEqz,True,True,True,False,False,True,stern--jurassic-park-stern--2019-playfield_700.webp,jurassic-park_700.webp,GK17D-playfield_700.webp,stern--jurassic-park-stern--2019-rulesheet.md,jurassic-park-rulesheet.md,GK17D-rulesheet.md,,/pinball/images/playfields/GK17D-playfield.jpg,high
