library_name,source_file,row_number,game,manufacturer,year,v1_slug,v2_inferred_naming,v3_practice_identity,opdb_id,library_entry_id,asset_playfield_local_legacy,asset_playfield_local_practice,v1_playfield_700_webp_name,v2_playfield_700_webp_name_inferred,v3_playfield_700_webp_name
The Avenue Cafe,Avenue Pinball - Current.csv,8,Star Wars,Stern,2017,stern--star-wars--2017,stern--G5vLR--2017,G5vLR,G5vLR-MwNwy,v--8760--G5vLR,,/pinball/images/playfields/G5vLR-playfield.png,stern--star-wars--2017-playfield_700.webp,stern--G5vLR--2017-playfield_700.webp,G5vLR-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,32,Star Wars: Fall of the Empire,Stern,2025,stern--star-wars-fall-of-the-empire--2025,stern--Gxv81--2025,Gxv81,Gxv81-Mo1rp,v--8760--Gxv81,,/pinball/images/playfields/Gxv81-playfield.jpg,stern--star-wars-fall-of-the-empire--2025-playfield_700.webp,stern--Gxv81--2025-playfield_700.webp,Gxv81-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,48,Stranger Things,Stern,2019,stern--stranger-things--2019,stern--Gzy89--2019,Gzy89,Gzy89-M0oPy,v--8760--Gzy89,,/pinball/images/playfields/Gzy89-playfield.jpg,stern--stranger-things--2019-playfield_700.webp,stern--Gzy89--2019-playfield_700.webp,Gzy89-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,16,Tales of the Arabian Nights,Williams,1996,williams--tales-of-the-arabian-nights--1996,williams--G4llj--1996,G4llj,G4llj-MQYb2,v--8760--G4llj,,/pinball/images/playfields/G4llj-playfield.jpg,williams--tales-of-the-arabian-nights--1996-playfield_700.webp,williams--G4llj--1996-playfield_700.webp,G4llj-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,28,Teenage Mutant Ninja Turtles,Stern,2020,stern--teenage-mutant-ninja-turtles--2020,stern--Gd2Xb--2020,Gd2Xb,Gd2Xb-MRjpZ,v--8760--Gd2Xb,,/pinball/images/playfields/Gd2Xb-playfield.jpg,stern--teenage-mutant-ninja-turtles--2020-playfield_700.webp,stern--Gd2Xb--2020-playfield_700.webp,Gd2Xb-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,17,The Addams Family,Bally,1992,bally--addams-family-the--1992,bally--G4ODR--1992,G4ODR,G4ODR-MDXEy,v--8760--G4ODR,,/pinball/images/playfields/G4ODR-playfield.jpg,bally--addams-family-the--1992-playfield_700.webp,bally--G4ODR--1992-playfield_700.webp,G4ODR-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,12,The Getaway: High Speed II,Williams,1992,williams--the-getaway-high-speed-ii--1992,williams--Grx8Y--1992,Grx8Y,Grx8Y-MKNe9,v--8760--Grx8Y,,/pinball/images/playfields/Grx8Y-playfield.jpg,williams--the-getaway-high-speed-ii--1992-playfield_700.webp,williams--Grx8Y--1992-playfield_700.webp,Grx8Y-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,10,The Mandalorian,Stern,2021,stern--the-mandalorian--2021,stern--GBLLP--2021,GBLLP,GBLLP-MW900,v--8760--GBLLP,,/pinball/images/playfields/GBLLP-playfield.jpg,stern--the-mandalorian--2021-playfield_700.webp,stern--GBLLP--2021-playfield_700.webp,GBLLP-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,25,The Munsters,Stern,2019,stern--munsters--2019,stern--GbPde--2019,GbPde,GbPde-M5Rkv,v--8760--GbPde,,/pinball/images/playfields/GbPde-playfield.jpg,stern--munsters--2019-playfield_700.webp,stern--GbPde--2019-playfield_700.webp,GbPde-playfield_700.webp
The Avenue Cafe,Avenue Pinball - Current.csv,9,The Simpsons Pinball Party,Stern,2003,stern--simpsons-pinball-party--2003,stern--GRvBL--2003,GRvBL,GRvBL-MP3Ev,v--8760--GRvBL,,/pinball/images/playfields/GRvBL-playfield.jpg,stern--simpsons-pinball-party--2003-playfield_700.webp,stern--GRvBL--2003-playfield_700.webp,GRvBL-playfield_700.webp
